年月日,日報酬率 %
2023/03/31,0.33
2023/03/30,0.4975
2023/03/29,0.1661
2023/03/28,-0.8646
2023/03/27,-0.6137
2023/03/24,0.2872
2023/03/23,0.7858
2023/03/22,1.8963
2023/03/21,0.4657
2023/03/20,-0.7146
2023/03/17,1.6232
2023/03/16,-0.4677
2023/03/15,0.0851
2023/03/14,-1.0943
2023/03/13,0.4227
2023/03/10,-1.5807
2023/03/09,-0.0831
2023/03/08,-0.8244
2023/03/07,0.6639
2023/03/06,0.9636
2023/03/03,0.0839
2023/03/02,-0.0838
2023/03/01,0.463
2023/02/24,-0.5025
2023/02/23,1.4875
2023/02/22,-1.0929
2023/02/21,-0.042
2023/02/20,0.2105
2023/02/17,-1.2884
2023/02/16,1.22
2023/02/15,-2.3017
2023/02/14,0.7453
2023/02/13,-0.2066
2023/02/10,0.0827
2023/02/09,0.0414
2023/02/08,1.5546
2023/02/07,-0.2096
2023/02/06,-1.4463
2023/02/03,0
2023/02/02,1.6807
2023/02/01,0.5917
2023/01/31,-1.9884
2023/01/30,4.403
2023/01/17,0
2023/01/16,0.7679
2023/01/13,1.1653
2023/01/12,-0.4297
2023/01/11,0.086
2023/01/10,0.3886
2023/01/09,3.5778
2023/01/06,0.4492
2023/01/05,0.724
2023/01/04,-0.2257
2023/01/03,0.4991
2022/12/30,0.6393
2022/12/29,-0.4545
2022/12/28,-1.4337
2022/12/27,0.45
2022/12/26,0.3613
2022/12/23,-1.6874
2022/12/22,1.6704
2022/12/21,0.408
2022/12/20,-1.8247
2022/12/19,-0.5752
2022/12/16,-1.6536
2022/12/15,0.0871
2022/12/14,1.2346
2022/12/13,-0.439
2022/12/12,-0.9565
2022/12/09,1.5453
2022/12/08,-1.178
2022/12/07,-0.6071
2022/12/06,-1.8306
2022/12/05,0.1279
2022/12/02,-0.8872
2022/12/01,1.719
2022/11/30,0.8232
2022/11/29,0.9182
2022/11/28,-2.0137
2022/11/25,0
2022/11/24,0.9516
2022/11/23,0.6969
2022/11/22,0.8344
2022/11/21,-0.3501
2022/11/18,-0.2619
2022/11/17,0.0437
2022/11/16,-0.1744
2022/11/15,4.2727
2022/11/14,0.9174
2022/11/11,5.314
2022/11/10,-0.9569
2022/11/09,2.8543
2022/11/08,1.0443
2022/11/07,1.7198
2022/11/04,0.152
2022/11/03,-1.3
2022/11/02,0.4016
2022/11/01,0.5553
2022/10/31,1.3299
2022/10/28,-1.2626
2022/10/27,1.4344
2022/10/26,0.9307
2022/10/25,-1.927
2022/10/24,-0.3033
2022/10/21,-0.3024
2022/10/20,-0.5514
2022/10/19,-1.3353
2022/10/18,1.1506
2022/10/17,-1.8655
2022/10/14,2.8788
2022/10/13,-1.1976
2022/10/12,-0.4965
2022/10/11,-5.1789
2022/10/07,-1.6667
2022/10/06,0.6993
2022/10/05,2.3378
2022/10/04,2.544
2022/10/03,-1.2083
2022/09/30,-1.3823
2022/09/29,-0.3325
2022/09/28,-2.093
2022/09/27,-0.1393
2022/09/26,-1.8687
2022/09/23,-0.9481
2022/09/22,-1.2043
2022/09/21,-0.8403
2022/09/20,0.8925
2022/09/19,-0.4442
2022/09/16,-1.1419
2022/09/15,0.176
2022/09/14,-2.0259
2022/09/13,0.5199
2022/09/12,2.1239
2022/09/08,0.713
2022/09/07,-2.3499
2022/09/06,0.657
2022/09/05,0.2195
2022/09/02,-1.0855
2022/09/01,-2.0833
2022/08/31,0.7281
2022/08/30,0.1716
2022/08/29,-2.5502
2022/08/26,0.5042
2022/08/25,0.933
2022/08/24,-0.2538
2022/08/23,-1.3356
2022/08/22,-1.4397
2022/08/19,0.1648
2022/08/18,-0.6549
2022/08/17,0.041
2022/08/16,0.1641
2022/08/15,0.9106
2022/08/12,0.6247
2022/08/11,1.8236
2022/08/10,-1.0491
2022/08/09,-0.0839
2022/08/08,-0.2092
2022/08/05,2.5311
2022/08/04,0.2581
2022/08/03,0.6058
2022/08/02,-1.785
2022/08/01,-0.2966
2022/07/29,0.941
2022/07/28,0.1714
2022/07/27,0.9079
2022/07/26,-0.8997
2022/07/25,-0.0856
2022/07/22,0.3868
2022/07/21,1.1299
2022/07/20,0.6562
2022/07/19,0.0876
2022/07/18,0.4329
2022/07/15,1.3158
2022/07/14,0.4848
2022/07/13,3.56
2022/07/12,-2.4053
2022/07/11,-0.883
2022/07/08,1.0259
2022/07/07,2.9858
2022/07/06,-1.9369
2022/07/05,0.498
2022/07/04,-0.9861
2022/07/01,-3.6701
2022/06/30,-2.5253
2022/06/29,-0.8347
2022/06/28,-0.9508
2022/06/27,2.3699
2022/06/24,0.212
2022/06/23,-1.3389
2022/06/22,-2.2095
2022/06/21,2.0459
2022/06/20,-0.9102
2022/06/17,-1.3469
2022/06/16,-0.2037
2022/06/15,-0.4864
2022/06/14,-0.1619
2022/06/13,-2.7931
2022/06/10,-1.0125
2022/06/09,-0.3106
2022/06/08,1.0989
2022/06/07,-1.0101
2022/06/06,0.7042
2022/06/02,-1.0453
2022/06/01,-0.5008
2022/05/31,0.9724
2022/05/30,2.4303
2022/05/27,2.1155
2022/05/26,-1.2455
2022/05/25,0.7692
2022/05/24,-1.1209
2022/05/23,0.2006
2022/05/20,1.0949
2022/05/19,-1.9093
2022/05/18,1.0856
2022/05/17,1.0976
2022/05/16,0.5313
2022/05/13,0.9072
2022/05/12,-2.3752
2022/05/11,0.1613
2022/05/10,-0.4416
2022/05/09,-1.6581
2022/05/06,-2.0116
2022/05/05,1.1346
2022/05/04,0
2022/05/03,-0.7379
2022/04/29,1.2982
2022/04/28,0.4346
2022/04/27,-2.089
2022/04/26,0
2022/04/25,-1.7857
2022/04/22,-0.8663
2022/04/21,0.0754
2022/04/20,0.4924
2022/04/19,0.3421
2022/04/18,-0.5293
2022/04/15,-1.7094
2022/04/14,-0.3702
2022/04/13,1.8861
2022/04/12,0.0755
2022/04/11,-1.5608
2022/04/08,0.5605
2022/04/07,-1.7982
2022/04/06,-0.5111
2022/04/01,-0.8327
2022/03/31,-0.3248
2022/03/30,1.2422
2022/03/29,0.1097
2022/03/28,-1.0854
2022/03/25,0.1449
2022/03/24,-0.0724
2022/03/23,0.9503
2022/03/22,-0.146
2022/03/21,0.6613
2022/03/18,-0.2199
2022/03/17,3.177
2022/03/16,0.4178
2022/03/15,-2.0461
2022/03/14,0
2022/03/11,-1.4301
2022/03/10,2.9057
2022/03/09,1.0294
2022/03/08,-2.1269
2022/03/07,-3.2142
2022/03/04,-1.0718
2022/03/03,0.2148
2022/03/02,-0.5696
2022/03/01,1.4079
2022/02/25,-0.2161
2022/02/24,-2.4253
2022/02/23,0.282
2022/02/22,-1.3561
2022/02/21,-0.2082
2022/02/18,-0.2768
2022/02/17,0.0693
2022/02/16,1.6543
2022/02/15,-0.4555
2022/02/14,-1.5523
2022/02/11,-0.0689
2022/02/10,1.1506
2022/02/09,0.3499
2022/02/08,0.4216
2022/02/07,0.5298
2022/01/26,-0.0706
2022/01/25,-1.6319
2022/01/24,0.9464
2022/01/21,-2.1797
2022/01/20,0.404
2022/01/19,-1.1976
2022/01/18,-1.1184
2022/01/17,1.1311
2022/01/14,0
2022/01/13,0.5015
2022/01/12,0.8429
2022/01/11,0.5083
2022/01/10,0.648
2022/01/07,-0.879
2022/01/06,-0.9377
2022/01/05,-0.2005
2022/01/04,2.1858
2022/01/03,0.6186
2021/12/30,-0.3083
2021/12/29,0.4474
2021/12/28,0.7978
2021/12/27,0.769
2021/12/24,0.2804
2021/12/23,0.564
2021/12/22,0
2021/12/21,0.8532
2021/12/20,-0.8809
2021/12/17,-0.1056
2021/12/16,1.2473
2021/12/15,0.1428
2021/12/14,-0.9894
2021/12/13,-0.317
2021/12/10,-0.0352
2021/12/09,-0.2459
2021/12/08,0.3879
2021/12/07,0.3184
2021/12/06,-0.2822
2021/12/03,-0.0353
2021/12/02,1.0691
2021/12/01,1.6667
2021/11/30,-0.1086
2021/11/29,0
2021/11/26,-1.6376
2021/11/25,-0.0356
2021/11/24,-0.4252
2021/11/23,-0.9477
2021/11/22,-0.2451
2021/11/19,0.2457
2021/11/18,0.5648
2021/11/17,0.3187
2021/11/16,0.1774
2021/11/15,0.8948
2021/11/12,0.3232
2021/11/11,-0.8897
2021/11/10,-0.1421
2021/11/09,1.0776
2021/11/08,0.7965
2021/11/05,1.4322
2021/11/04,-0.3294
2021/11/03,0.2569
2021/11/02,-0.1832
2021/11/01,0.5155
2021/10/29,-0.9843
2021/10/28,-0.2908
2021/10/27,0
2021/10/26,0.8431
2021/10/25,-0.0733
2021/10/22,0.2939
2021/10/21,-0.366
2021/10/20,-0.2556
2021/10/19,0.8097
2021/10/18,-0.2936
2021/10/15,2.6365
2021/10/14,0.2644
2021/10/13,-0.3387
2021/10/12,-1.006
2021/10/08,-0.8496
2021/10/07,1.7669
2021/10/06,0.0376
2021/10/05,-0.1502
2021/10/04,-0.5972
2021/10/01,-2.2619
2021/09/30,0.7721
2021/09/29,-2.1583
2021/09/28,-0.7143
2021/09/27,0.2506
2021/09/24,1.1957
2021/09/23,0.5831
2021/09/22,-2.3488
2021/09/17,0.2855
2021/09/16,-0.4618
2021/09/15,-0.6003
2021/09/14,0.106
2021/09/13,-0.3522
2021/09/10,1.1761
2021/09/09,-0.2488
2021/09/08,-0.8809
2021/09/07,-0.456
2021/09/06,0.4581
2021/09/03,1.4296
2021/09/02,-0.7801
2021/09/01,0.4631
2021/08/31,0.6093
2021/08/30,0.9772
2021/08/27,0.8394
2021/08/26,0.6983
2021/08/25,0.9647
2021/08/24,0.2977
2021/08/23,2.7533
2021/08/20,-0.7967
2021/08/19,-2.298
2021/08/18,0.4094
2021/08/17,-0.7388
2021/08/16,-0.2212
2021/08/13,-0.9493
2021/08/12,-0.1822
2021/08/11,-0.3269
2021/08/10,-0.5419
2021/08/09,-0.2882
2021/08/06,-0.1439
2021/08/05,-0.1795
2021/08/04,0.5778
2021/08/03,0.3988
2021/08/02,1.3598
2021/07/30,-0.3297
2021/07/29,1.676
2021/07/28,-1.5762
2021/07/27,-0.0366
2021/07/26,-0.8718
2021/07/23,0
2021/07/22,0.695
2021/07/21,-0.1093
2021/07/20,-0.7954
2021/07/19,-1.1437
2021/07/16,-1.3399
2021/07/15,0.9253
2021/07/14,0.2497
2021/07/13,0.8273
2021/07/12,0.9074
2021/07/09,-0.7922
2021/07/08,-0.1079
2021/07/07,-0.5367
2021/07/06,0.1074
2021/07/05,0.94
2021/07/02,0
2021/07/01,-0.4678
2021/06/30,0.9811
2021/06/29,0.2915
2021/06/28,0.1825
2021/06/25,0.1829
2021/06/24,-0.2554
2021/06/23,1.6314
2021/06/22,0.1114
2021/06/21,-2.3913
2021/06/18,-0.2169
2021/06/17,-0.2884
2021/06/16,-0.108
2021/06/15,0.5431
2021/06/11,0.3634
2021/06/10,1.5498
2021/06/09,-0.7326
2021/06/08,-0.5827
2021/06/07,0.2556
2021/06/04,-0.4724
2021/06/03,-0.0726
2021/06/02,0
2021/06/01,0.4376
2021/05/31,0.9573
2021/05/28,1.6848
2021/05/27,-0.7063
2021/05/26,0.0744
2021/05/25,1.7026
2021/05/24,-0.1511
2021/05/21,1.4176
2021/05/20,-0.6849
2021/05/19,-0.6803
2021/05/18,4.585
2021/05/17,-1.9
2021/05/14,1.1373
2021/05/13,-1.4683
2021/05/12,-2.8893
2021/05/11,-3.7559
2021/05/10,-0.6815
2021/05/07,1.789
2021/05/06,0.884
2021/05/05,-0.9486
2021/05/04,-0.868
2021/05/03,-1.6714
2021/04/29,0.1425
2021/04/28,-0.6018
2021/04/27,0.0354
2021/04/26,1.4732
2021/04/23,0.9065
2021/04/22,-0.0725
2021/04/21,-0.8977
2021/04/20,-0.1792
2021/04/19,0.1795
2021/04/16,0.1438
2021/04/15,0.8339
2021/04/14,0.5468
2021/04/13,0
2021/04/12,-0.5799
2021/04/09,-0.217
2021/04/08,0.3266
2021/04/07,0.109
2021/04/06,1.3996
2021/04/01,0.7421
2021/03/31,-0.8462
2021/03/30,0.3322
2021/03/29,0.8188
2021/03/26,1.8189
2021/03/25,0.3422
2021/03/24,-1.5719
2021/03/23,0.1499
2021/03/22,0.4518
2021/03/19,-1.5567
2021/03/18,0.5216
2021/03/17,-0.8496
2021/03/16,0.3336
2021/03/15,-0.2588
2021/03/12,0.4083
2021/03/11,2.1228
2021/03/10,0.4187
2021/03/09,-0.3792
2021/03/08,-0.0758
2021/03/05,-0.6026
2021/03/04,-1.9572
2021/03/03,1.4612
2021/03/02,0.0375
2021/02/26,-3.0171
2021/02/25,0.8062
2021/02/24,-1.4801
2021/02/23,-0.2161
2021/02/22,-0.036
2021/02/19,-1.0688
2021/02/18,-0.1423
2021/02/17,4.2656
2021/02/05,0.936
2021/02/04,-0.5955
2021/02/03,-0.0744
2021/02/02,2.8298
2021/02/01,1.9891
2021/01/29,-1.6494
2021/01/28,-2.0293
2021/01/27,0.1505
2021/01/26,-2.028
2021/01/25,-1.3459
2021/01/22,-1.7483
2021/01/21,3.4732
2021/01/20,0.1812
2021/01/19,2.6414
2021/01/18,-0.0743
2021/01/15,0.3357
2021/01/14,-0.9239
2021/01/13,2.4224
2021/01/12,-0.1512
2021/01/11,0.8384
2021/01/08,1.7843
2021/01/07,2.3422
2021/01/06,1.0835
2021/01/05,0.201
2021/01/04,1.7178
2020/12/31,0.5345
2020/12/30,1.4178
2020/12/29,-0.0833
2020/12/28,0.8827
2020/12/25,0.1263
2020/12/24,0.5501
2020/12/23,0.1271
2020/12/22,-1.1311
2020/12/21,0.9729
2020/12/18,-0.3373
2020/12/17,-0.5451
2020/12/16,1.8795
2020/12/15,-1.0148
2020/12/14,-0.4211
2020/12/11,0.1265
2020/12/10,-1.2078
2020/12/09,0
2020/12/08,1.3936
2020/12/07,0.9378
2020/12/04,1.6464
2020/12/03,0
2020/12/02,0.9624
2020/12/01,0.8826
2020/11/30,-1.1775
2020/11/27,-0.1741
2020/11/26,0.7898
2020/11/25,-0.8268
2020/11/24,-0.4764
2020/11/23,1.2719
2020/11/20,-0.1314
2020/11/19,-0.1749
2020/11/18,0.6602
2020/11/17,0.7092
2020/11/16,3.2494
2020/11/13,0.4136
2020/11/12,0.046
2020/11/11,1.5406
2020/11/10,-0.9251
2020/11/09,1.3121
2020/11/06,0.6129
2020/11/05,-0.0942
2020/11/04,1.4818
2020/11/03,1.1605
2020/11/02,0.3883
2020/10/30,-0.8185
2020/10/29,-1.0952
2020/10/28,-0.4739
2020/10/27,-0.5655
2020/10/26,0
2020/10/23,0
2020/10/22,0.1416
2020/10/21,-0.0472
2020/10/20,-0.5629
2020/10/19,1.2827
2020/10/16,-0.4257
2020/10/15,-0.9372
2020/10/14,-0.3735
2020/10/13,0.0467
2020/10/12,0.8004
2020/10/08,1.3359
2020/10/07,0.5276
2020/10/06,1.1645
2020/10/05,0.0485
2020/09/30,0.4388
2020/09/29,0.2444
2020/09/28,1.6393
2020/09/25,0.1991
2020/09/24,-2.4284
2020/09/23,-0.1455
2020/09/22,-1.2925
2020/09/21,-0.8072
2020/09/18,-0.0949
2020/09/17,-1.0793
2020/09/16,1.5245
2020/09/15,0.3826
2020/09/14,1.2591
2020/09/11,0.0484
2020/09/10,0.8798
2020/09/09,-0.6796
2020/09/08,0.5859
2020/09/07,-0.1463
2020/09/04,-0.726
2020/09/03,0.2913
2020/09/02,-0.3387
2020/09/01,1.5226
2020/08/31,-1.6425
2020/08/28,-1.0043
2020/08/27,0.2397
2020/08/26,0.385
2020/08/25,0.7759
2020/08/24,0.2918
2020/08/21,2.1869
2020/08/20,-3.5012
2020/08/19,-0.7143
2020/08/18,-0.5682
2020/08/17,1.0526
