年月日,日報酬率 %
2023/03/29,0.9524
2023/03/28,-1.1299
2023/03/27,-1.4842
2023/03/24,0.1859
2023/03/23,0.9381
2023/03/22,3.0948
2023/03/21,0.9766
2023/03/20,-1.1583
2023/03/17,2.5743
2023/03/16,-0.636
2023/03/15,0.1961
2023/03/14,-1.1628
2023/03/13,0.5848
2023/03/10,-1.7241
2023/03/09,0.1919
2023/03/08,-0.5725
2023/03/07,0.5758
2023/03/06,0.969
2023/03/03,-0.578
2023/03/02,-0.5747
2023/03/01,2.1526
2023/02/24,-1.3514
2023/02/23,2.1696
2023/02/22,-1.7442
2023/02/21,-0.1934
2023/02/20,-0.1931
2023/02/17,-1.8939
2023/02/16,0.5714
2023/02/15,-3.6697
2023/02/14,0.7394
2023/02/13,-0.7339
2023/02/10,0.9259
2023/02/09,0
2023/02/08,3.2505
2023/02/07,-0.5703
2023/02/06,-2.952
2023/02/03,0.3704
2023/02/02,1.8868
2023/02/01,1.5326
2023/01/31,-3.8674
2023/01/30,7.9523
2023/01/17,-0.396
2023/01/16,1
2023/01/13,2.7749
2023/01/12,0.4128
2023/01/11,-0.3086
2023/01/10,1.0395
2023/01/09,4.9073
2023/01/06,0
2023/01/05,2.0022
2023/01/04,-0.7726
2023/01/03,1.0033
2022/12/30,0.5605
2022/12/29,-1.1086
2022/12/28,-1.3129
2022/12/27,0.1095
2022/12/26,0.3297
2022/12/23,-2.7778
2022/12/22,1.9608
2022/12/21,0.3279
2022/12/20,-1.9293
2022/12/19,-0.9554
2022/12/16,-1.9771
2022/12/15,0.5723
2022/12/14,1.9088
2022/12/13,-0.7368
2022/12/12,-1.3499
2022/12/09,2.1209
2022/12/08,-0.7368
2022/12/07,-0.6276
2022/12/06,-2.2495
2022/12/05,-0.7107
2022/12/02,-1.2036
2022/12/01,1.7347
2022/11/30,0.616
2022/11/29,1.3528
2022/11/28,-3.5141
2022/11/25,0.4032
2022/11/24,0.813
2022/11/23,0.2037
2022/11/22,1.8672
2022/11/21,-1.0267
2022/11/18,0.4124
2022/11/17,-0.4107
2022/11/16,1.4583
2022/11/15,7.8652
2022/11/14,0.7928
2022/11/11,8.3436
2022/11/10,-2.2782
2022/11/09,4.5113
2022/11/08,2.3077
2022/11/07,2.0942
2022/11/04,-0.5208
2022/11/03,-2.7848
2022/11/02,0.894
2022/11/01,0.3846
2022/10/31,2.7668
2022/10/28,-1.5564
2022/10/27,2.5266
2022/10/26,1.3477
2022/10/25,-4.1344
2022/10/24,-0.6418
2022/10/21,-2.0126
2022/10/20,0.5057
2022/10/19,-2.8256
2022/10/18,2.5189
2022/10/17,-3.6408
2022/10/14,4.3038
2022/10/13,-0.6289
2022/10/12,-0.9963
2022/10/11,-8.3333
2022/10/07,-2.8825
2022/10/06,1.3483
2022/10/05,3.7296
2022/10/04,2.8777
2022/10/03,-1.1848
2022/09/30,-2.9885
2022/09/29,-0.6849
2022/09/28,-2.2321
2022/09/27,0.3359
2022/09/26,-1.8681
2022/09/23,-2.0452
2022/09/22,-1.38
2022/09/21,-1.1542
2022/09/20,2.0343
2022/09/19,-1.0593
2022/09/16,-0.9444
2022/09/15,-0.1563
2022/09/14,-2.6369
2022/09/13,1.3361
2022/09/12,2.4211
2022/09/08,0.5291
2022/09/07,-3.3742
